feature_order,ensembl_gene_id
290,ENSG00000141040
291,ENSG00000141293
292,ENSG00000141664
293,ENSG00000142173
294,ENSG00000142303
295,ENSG00000142528
296,ENSG00000142534
297,ENSG00000142541
298,ENSG00000142546
299,ENSG00000142676
300,ENSG00000142794
301,ENSG00000142856
302,ENSG00000142875
303,ENSG00000142937
304,ENSG00000143167
305,ENSG00000143184
306,ENSG00000143185
307,ENSG00000143365
308,ENSG00000143499
309,ENSG00000143947
310,ENSG00000144026
311,ENSG00000144120
312,ENSG00000144290
313,ENSG00000144362
314,ENSG00000144476
315,ENSG00000144713
316,ENSG00000144824
317,ENSG00000144935
318,ENSG00000145425
319,ENSG00000145592
320,ENSG00000145649
321,ENSG00000145675
322,ENSG00000145685
323,ENSG00000145908
324,ENSG00000145919
325,ENSG00000146083
326,ENSG00000146243
327,ENSG00000146250
328,ENSG00000146674
329,ENSG00000146904
330,ENSG00000147180
331,ENSG00000147231
332,ENSG00000147403
333,ENSG00000147604
334,ENSG00000148303
335,ENSG00000148426
336,ENSG00000148848
337,ENSG00000149131
338,ENSG00000149273
339,ENSG00000149292
340,ENSG00000149294
341,ENSG00000149806
342,ENSG00000149823
343,ENSG00000150045
344,ENSG00000150938
345,ENSG00000151135
346,ENSG00000151150
347,ENSG00000151240
348,ENSG00000151623
349,ENSG00000151687
350,ENSG00000151835
351,ENSG00000151929
352,ENSG00000152093
353,ENSG00000152102
354,ENSG00000152133
355,ENSG00000152454
356,ENSG00000152495
357,ENSG00000152558
358,ENSG00000152778
359,ENSG00000153283
360,ENSG00000154027
361,ENSG00000154217
362,ENSG00000154277
363,ENSG00000154358
364,ENSG00000154734
365,ENSG00000154764
366,ENSG00000154814
367,ENSG00000155961
368,ENSG00000156239
369,ENSG00000156475
370,ENSG00000156482
371,ENSG00000156508
372,ENSG00000156510
373,ENSG00000157077
374,ENSG00000157570
375,ENSG00000157601
376,ENSG00000157827
377,ENSG00000157856
378,ENSG00000157985
379,ENSG00000158050
380,ENSG00000158966
381,ENSG00000159231
382,ENSG00000159445
383,ENSG00000160185
384,ENSG00000160226
385,ENSG00000160307
386,ENSG00000160310
387,ENSG00000160321
388,ENSG00000160932
389,ENSG00000161016
390,ENSG00000161381
391,ENSG00000161791
392,ENSG00000161835
393,ENSG00000161970
394,ENSG00000162062
395,ENSG00000162244
396,ENSG00000162398
397,ENSG00000162496
398,ENSG00000162594
399,ENSG00000162614
400,ENSG00000162627
401,ENSG00000162630
402,ENSG00000162639
403,ENSG00000162772
404,ENSG00000162894
405,ENSG00000163281
406,ENSG00000163508
407,ENSG00000163520
408,ENSG00000163597
409,ENSG00000163600
410,ENSG00000163606
411,ENSG00000163666
412,ENSG00000163682
413,ENSG00000163746
414,ENSG00000163823
415,ENSG00000164120
416,ENSG00000164283
417,ENSG00000164284
418,ENSG00000164292
419,ENSG00000164587
420,ENSG00000165029
421,ENSG00000165121
422,ENSG00000165131
423,ENSG00000165138
424,ENSG00000165185
425,ENSG00000165322
426,ENSG00000165516
427,ENSG00000165521
428,ENSG00000165591
429,ENSG00000165929
430,ENSG00000165943
431,ENSG00000165949
432,ENSG00000166260
433,ENSG00000166278
434,ENSG00000166289
435,ENSG00000166313
436,ENSG00000166341
437,ENSG00000166441
438,ENSG00000166669
439,ENSG00000166707
440,ENSG00000166886
441,ENSG00000166920
442,ENSG00000166979
443,ENSG00000167034
444,ENSG00000167106
445,ENSG00000167232
446,ENSG00000167286
447,ENSG00000167526
448,ENSG00000167633
449,ENSG00000167658
450,ENSG00000167664
451,ENSG00000167766
452,ENSG00000167775
453,ENSG00000167840
454,ENSG00000167900
455,ENSG00000167984
456,ENSG00000168028
457,ENSG00000168038
458,ENSG00000168062
459,ENSG00000168229
460,ENSG00000168280
461,ENSG00000168646
462,ENSG00000168661
463,ENSG00000168685
464,ENSG00000168795
465,ENSG00000168994
466,ENSG00000169242
467,ENSG00000169248
468,ENSG00000169508
469,ENSG00000169567
470,ENSG00000169583
471,ENSG00000169740
472,ENSG00000169884
473,ENSG00000169918
474,ENSG00000169964
475,ENSG00000169991
476,ENSG00000170468
477,ENSG00000170846
478,ENSG00000170949
479,ENSG00000170962
480,ENSG00000170989
481,ENSG00000171033
482,ENSG00000171101
483,ENSG00000171291
484,ENSG00000171476
485,ENSG00000171596
486,ENSG00000171649
487,ENSG00000171658
488,ENSG00000171735
489,ENSG00000171817
490,ENSG00000171823
491,ENSG00000171858
492,ENSG00000171863
493,ENSG00000172159
494,ENSG00000172215
495,ENSG00000172426
496,ENSG00000172460
497,ENSG00000172809
498,ENSG00000172819
499,ENSG00000172889
500,ENSG00000172915
501,ENSG00000173041
502,ENSG00000173193
503,ENSG00000173482
504,ENSG00000173530
505,ENSG00000173762
506,ENSG00000173914
507,ENSG00000174444
508,ENSG00000174500
509,ENSG00000174738
510,ENSG00000174748
511,ENSG00000174946
512,ENSG00000175061
513,ENSG00000175084
514,ENSG00000175390
515,ENSG00000175536
516,ENSG00000175643
517,ENSG00000175662
518,ENSG00000175970
519,ENSG00000176049
520,ENSG00000176171
521,ENSG00000176222
522,ENSG00000176396
523,ENSG00000176624
524,ENSG00000176928
525,ENSG00000177272
526,ENSG00000177294
527,ENSG00000177409
528,ENSG00000177707
529,ENSG00000177721
530,ENSG00000177932
531,ENSG00000177954
532,ENSG00000177989
533,ENSG00000178035
534,ENSG00000178038
535,ENSG00000178338
536,ENSG00000178445
537,ENSG00000178562
538,ENSG00000178607
539,ENSG00000178922
540,ENSG00000179044
541,ENSG00000179071
542,ENSG00000179088
543,ENSG00000179750
544,ENSG00000180035
545,ENSG00000180357
546,ENSG00000180479
547,ENSG00000180626
548,ENSG00000180644
549,ENSG00000180739
550,ENSG00000180855
551,ENSG00000180914
552,ENSG00000181163
553,ENSG00000181191
554,ENSG00000181585
555,ENSG00000181754
556,ENSG00000181894
557,ENSG00000182004
558,ENSG00000182141
559,ENSG00000182173
560,ENSG00000182183
561,ENSG00000182359
562,ENSG00000182489
563,ENSG00000182568
564,ENSG00000182621
565,ENSG00000182700
566,ENSG00000182712
567,ENSG00000182774
568,ENSG00000182809
569,ENSG00000182841
570,ENSG00000182866
571,ENSG00000182899
572,ENSG00000182903
573,ENSG00000183150
574,ENSG00000183347
575,ENSG00000183486
576,ENSG00000183542
577,ENSG00000183662
578,ENSG00000183690
579,ENSG00000183691
580,ENSG00000183837
581,ENSG00000183918
582,ENSG00000184205
583,ENSG00000184515
584,ENSG00000184702
585,ENSG00000184939
586,ENSG00000184979
587,ENSG00000185112
588,ENSG00000185168
589,ENSG00000185338
590,ENSG00000185418
591,ENSG00000185420
592,ENSG00000185485
593,ENSG00000185507
594,ENSG00000185697
595,ENSG00000185745
596,ENSG00000186056
597,ENSG00000186104
598,ENSG00000186106
599,ENSG00000186174
600,ENSG00000186231
601,ENSG00000186272
602,ENSG00000186310
603,ENSG00000186462
604,ENSG00000186468
605,ENSG00000186854
606,ENSG00000187118
607,ENSG00000187240
608,ENSG00000187608
609,ENSG00000187676
610,ENSG00000188157
611,ENSG00000188171
612,ENSG00000188242
613,ENSG00000188282
614,ENSG00000188290
615,ENSG00000188313
616,ENSG00000188321
617,ENSG00000188352
618,ENSG00000188846
619,ENSG00000188868
620,ENSG00000188994
621,ENSG00000189144
622,ENSG00000189152
623,ENSG00000189190
624,ENSG00000189227
625,ENSG00000189369
626,ENSG00000189430
627,ENSG00000196116
628,ENSG00000196139
629,ENSG00000196141
630,ENSG00000196172
631,ENSG00000196247
632,ENSG00000196267
633,ENSG00000196302
634,ENSG00000196358
635,ENSG00000196381
636,ENSG00000196466
637,ENSG00000196531
638,ENSG00000196542
639,ENSG00000196550
640,ENSG00000196569
641,ENSG00000196586
642,ENSG00000196683
643,ENSG00000196693
644,ENSG00000196793
645,ENSG00000196867
646,ENSG00000197008
647,ENSG00000197024
648,ENSG00000197050
649,ENSG00000197061
650,ENSG00000197415
651,ENSG00000197457
652,ENSG00000197540
653,ENSG00000197579
654,ENSG00000197635
655,ENSG00000197728
656,ENSG00000197756
657,ENSG00000197763
658,ENSG00000197841
659,ENSG00000197863
660,ENSG00000197894
661,ENSG00000197933
662,ENSG00000197965
663,ENSG00000198034
664,ENSG00000198040
665,ENSG00000198105
666,ENSG00000198182
667,ENSG00000198205
668,ENSG00000198237
669,ENSG00000198242
670,ENSG00000198467
671,ENSG00000198482
672,ENSG00000198538
673,ENSG00000198574
674,ENSG00000198727
675,ENSG00000198743
676,ENSG00000198755
677,ENSG00000198780
678,ENSG00000198785
679,ENSG00000198821
680,ENSG00000198829
681,ENSG00000198851
682,ENSG00000198918
683,ENSG00000198932
684,ENSG00000199568
685,ENSG00000199631
686,ENSG00000199785
687,ENSG00000200087
688,ENSG00000200156
689,ENSG00000200237
690,ENSG00000200320
691,ENSG00000200394
692,ENSG00000200785
693,ENSG00000200792
694,ENSG00000200795
695,ENSG00000200959
696,ENSG00000201098
697,ENSG00000201315
698,ENSG00000201772
699,ENSG00000201793
700,ENSG00000202058
701,ENSG00000202198
702,ENSG00000202252
703,ENSG00000202538
704,ENSG00000203326
705,ENSG00000203875
706,ENSG00000204103
707,ENSG00000204116
708,ENSG00000204228
709,ENSG00000204387
710,ENSG00000204475
711,ENSG00000204564
712,ENSG00000204628
713,ENSG00000204789
714,ENSG00000204934
715,ENSG00000205089
716,ENSG00000205189
717,ENSG00000205485
718,ENSG00000205572
719,ENSG00000205809
720,ENSG00000205810
721,ENSG00000205837
722,ENSG00000205981
723,ENSG00000206127
724,ENSG00000206561
725,ENSG00000206597
726,ENSG00000206652
727,ENSG00000206656
728,ENSG00000207008
729,ENSG00000207088
730,ENSG00000207142
731,ENSG00000207166
732,ENSG00000207392
733,ENSG00000207445
734,ENSG00000207496
735,ENSG00000207501
736,ENSG00000208772
737,ENSG00000208892
738,ENSG00000209582
739,ENSG00000211649
740,ENSG00000211662
741,ENSG00000211689
742,ENSG00000211694
743,ENSG00000211695
744,ENSG00000211697
745,ENSG00000211699
746,ENSG00000211713
747,ENSG00000211724
748,ENSG00000211734
749,ENSG00000211778
750,ENSG00000211786
751,ENSG00000211790
752,ENSG00000211791
753,ENSG00000211793
754,ENSG00000211794
755,ENSG00000211795
756,ENSG00000211799
757,ENSG00000211803
758,ENSG00000211807
759,ENSG00000211821
760,ENSG00000211829
761,ENSG00000212232
762,ENSG00000212402
763,ENSG00000212443
764,ENSG00000212464
765,ENSG00000212588
766,ENSG00000212907
767,ENSG00000213096
768,ENSG00000213185
769,ENSG00000213700
770,ENSG00000213741
771,ENSG00000213976
772,ENSG00000214067
773,ENSG00000214226
774,ENSG00000214439
775,ENSG00000214552
776,ENSG00000215030
777,ENSG00000215105
778,ENSG00000215190
779,ENSG00000215252
780,ENSG00000215630
781,ENSG00000215784
782,ENSG00000215788
783,ENSG00000215845
784,ENSG00000216809
785,ENSG00000217275
786,ENSG00000218357
787,ENSG00000219481
788,ENSG00000219928
789,ENSG00000220563
790,ENSG00000221491
791,ENSG00000221874
792,ENSG00000221923
793,ENSG00000222078
794,ENSG00000222328
795,ENSG00000223387
796,ENSG00000224020
797,ENSG00000224137
798,ENSG00000224578
799,ENSG00000225079
800,ENSG00000225349
801,ENSG00000225492
802,ENSG00000225523
803,ENSG00000225648
804,ENSG00000225964
805,ENSG00000226471
806,ENSG00000226766
807,ENSG00000226904
808,ENSG00000226950
809,ENSG00000227063
810,ENSG00000227097
811,ENSG00000227199
812,ENSG00000227962
813,ENSG00000228125
814,ENSG00000228794
815,ENSG00000228828
816,ENSG00000228939
817,ENSG00000228956
818,ENSG00000229023
819,ENSG00000229117
820,ENSG00000229590
821,ENSG00000229668
822,ENSG00000229833
823,ENSG00000230092
824,ENSG00000230202
825,ENSG00000230629
826,ENSG00000230747
827,ENSG00000231437
828,ENSG00000231500
829,ENSG00000231621
830,ENSG00000231663
831,ENSG00000232021
832,ENSG00000232022
833,ENSG00000232184
834,ENSG00000232442
835,ENSG00000232486
836,ENSG00000232573
837,ENSG00000232593
838,ENSG00000232653
839,ENSG00000232812
840,ENSG00000232869
841,ENSG00000233030
842,ENSG00000233093
843,ENSG00000233355
844,ENSG00000233387
845,ENSG00000233411
846,ENSG00000233426
847,ENSG00000233469
848,ENSG00000233609
849,ENSG00000233785
850,ENSG00000233836
851,ENSG00000233927
852,ENSG00000234134
853,ENSG00000234284
854,ENSG00000234327
855,ENSG00000234614
856,ENSG00000235111
857,ENSG00000235174
858,ENSG00000235321
859,ENSG00000235576
860,ENSG00000235944
861,ENSG00000235962
862,ENSG00000236140
863,ENSG00000236213
864,ENSG00000237440
865,ENSG00000237471
866,ENSG00000237943
867,ENSG00000238015
868,ENSG00000238622
869,ENSG00000238741
870,ENSG00000238795
871,ENSG00000238917
872,ENSG00000239002
